강의명,범주,평점,가격,링크
실전 파이썬 게임 만들기 (Python),Python,94점,0,https://www.inflearn.com/course/파이썬-게임-만들기-python
MIT 공개강좌 - 컴퓨터 과학 & 프로그래밍 입문 (python),Python,100점,0,https://www.inflearn.com/course/mit-공개강좌-python
파이썬을 활용한 선형대수학 - NumPy와 SciPy의 활용,"선형대수학, 행렬, 수학",100점,55000,https://www.inflearn.com/course/선형대수학
남박사의 파이썬으로 실전 웹사이트 만들기,"Python, 웹 개발",100점,55000,https://www.inflearn.com/course/파이썬-웹사이트만들기-실전
파이썬으로 장고(Django) 공략하기: 입문,"Python, Django",91점,44000,https://www.inflearn.com/course/django-course
실시간 트렌드 홈페이지 개발(파이썬 크롤링 + Flask),"Python, 웹 크롤링",100점,13200,https://www.inflearn.com/course/파이썬-크롤링-실시간-트렌드-홈페이지
웹 자동화 프로그램 만들기(파이썬 + 셀레니움),"Python, 업무자동화, Selenium",100점,11000,https://www.inflearn.com/course/웹자동화-파이썬-셀레니움
처음 시작하는 파이썬,"Python, 빅데이터",87점,16500,https://www.inflearn.com/course/python-2
SQL/DB(MySQL) 기본부터 파이썬/데이터분석 활용까지!,"Python, SQL, MYSQL, 데이터 분석",93점,44000,https://www.inflearn.com/course/SQL-DB-MYSQL-파이썬-데이터분석
파이썬으로 영화 예매 오픈 알리미 만들기,Python,98점,0,https://www.inflearn.com/course/영화예매-파이썬
초간단 초스피드 데이터 수집 (파이썬 크롤링),"Python, 웹 크롤링",100점,11000,https://www.inflearn.com/course/초간단-초스피드-파이썬-크롤링-데이터-수집
김대리님 이게 바로 업무 자동화입니다 (엑셀 + 파이썬),"Python, Excel, 업무자동화",0점,16500,https://www.inflearn.com/course/김대리님-업무-자동화-엑셀-파이썬
NoSQL/DB(몽고DB)기초와 파이썬활용 [최신 풀스택/데이터과학 첫걸음],"Python, MongoDB, 데이터베이스",98점,44000,https://www.inflearn.com/course/nosql-파이썬-몽고DB-잔재미코딩
파이썬으로 구현하는 거래 자동화 봇 (챗봇),"Python, 챗봇",92점,55000,https://www.inflearn.com/course/python-bitcoin-chatbot
파이썬입문과 크롤링기초 부트캠프 (2020 업데이트) [쉽게! 견고한 자료까지!],"Python, 데이터 분석, 웹 크롤링, 데이터 과학",96점,55000,https://www.inflearn.com/course/Python-crawling-basic
파이썬을 이용한 웹 크롤링(Web Crawling) 어플리케이션 만들기,"Python, 웹 크롤링",87점,0,https://www.inflearn.com/course/웹-크롤링web-crawling-어플리케이션-만들기
파이썬을 활용한 데이터분석과 IT보안,"Python, 데이터 분석, 정보보안",100점,132000,https://www.inflearn.com/course/python-data-security
파이썬을 이용한 IT 해킹과 보안,정보보안,92점,110000,https://www.inflearn.com/course/it보안-파이썬-스쿨
쉽고 빠르게 끝내는 GO언어 프로그래밍 핵심 기초 입문 과정,GO,91점,44000,https://www.inflearn.com/course/go언어
쉽게 배워보는 파이참(PyCharm) 핵심 가이드,Jetbrain,97점,44000,https://www.inflearn.com/course/pycharm-guide
자바 머신러닝 weka(웨카) 초급,"Java, 머신러닝",100점,0,https://www.inflearn.com/course/자바-머신러닝-weka
제주코딩베이스캠프 Code Festival: JavaScript 100제,"Javascript, 알고리즘",0점,55000,https://www.inflearn.com/course/제주코딩-자바스크립트-100제
밑바닥 부터 시작하는 머신러닝 입문,"머신러닝, 인공지능, 데이터 분석, 데이터 과학",88점,77000,https://www.inflearn.com/course/파이썬-머신러닝-입문-강좌
[모바일] 딥러닝 Computer Vision 실전 프로젝트,"Angular, IONIC, 딥러닝, 컴퓨터 비전",100점,99000,https://www.inflearn.com/course/딥러닝-모바일-ComputerVision
"모의해킹 실무자가 알려주는, SQL Injection 공격 기법과 시큐어 코딩 : PART 1","SQL, 모의해킹, 정보보안, 인젝션",100점,165000,https://www.inflearn.com/course/sql-injection-secure-coding-1
[라즈베리파이] IoT 딥러닝 Computer Vision 실전 프로젝트,"Python, 딥러닝, Raspberry Pi, IoT",100점,99000,https://www.inflearn.com/course/라즈베리파이-IoT-딥러닝-실전
처음 시작하는 MySQL DataBase,"MYSQL, 데이터베이스",100점,16500,https://www.inflearn.com/course/mysql
단 두 장의 문서로 데이터 분석과 시각화 뽀개기,"데이터 시각화, Python, Pandas, 데이터 분석",94점,33000,https://www.inflearn.com/course/판다스-Pandas
그로스해킹 - 데이터와 실험을 통해 성장하는 서비스를 만드는 방법,"마케팅 이론, 디지털 마케팅, 그로스해킹",99점,55000,https://www.inflearn.com/course/그로스해킹-데이터-실험-성장-서비스
코알못에서 웹서비스 런칭까지 : 제주 코딩 베이스캠프(Django 2.x),"HTML/CSS, Javascript, Python, Django",87점,99000,https://www.inflearn.com/course/web_fullstack
Oracle SQL Database 11g PL/SQL Developer,"SQL, Oracle, PL/SQL",98점,16500,https://www.inflearn.com/course/oracle
